"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",13.91,21.59,29.31,12.06
"Feb",15.14,22.69,30.3,20.14
"Mar",16.69,23.88,31.12,43.64
"Apr",17.6,24.1,30.66,95.88
"May",17.9,23.97,30.09,102.28
"Jun",17.76,23.52,29.33,77.28
"Jul",17.42,22.63,27.89,130.04
"Aug",17.16,22.45,27.79,136.26
"Sep",17,22.83,28.71,98.47
"Oct",16.05,22.45,28.89,79.84
"Nov",14.55,21.6,28.7,36.76
"Dec",13.56,21.13,28.75,11.56
